"annee","libdip1","code_diplome","libdom","libdip2","libdip3","sexe","serieBac","regionEmploi","regionBac","repondant","statutReponse","boursier","etudeN6","etudeN18","etudeN30","poursuiteEtude","situationProN30","situationProN18","situationProN30r","situationProN18r","insertionN30","insertionN18","statutEmploiN30","statutEmploiN18","emploiStableN30","emploiStableN18","emploiPleinN30","emploiPleinN18","niveauEmploiN18","niveauEmploiN30","emploiSupIntN30","emploiSupIntN18","salaireEmploiN30","salaireEmploiN18","typeEmployeur","activiteEcoEmployeur","intituleEmploi"
2014,"LP",2006833,NA,"GENIE CIVIL ET CONSTRUCTION","BATIMENTS A HAUTES PERFORMANCES ENERGETIQUES","Femme","Scientifique",NA,"Alpes-Maritimes",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En recherche d'emploi",NA,"En recherche d'emploi",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Master",2222791,"SCIENCES HUMAINES ET SOCIALES","ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""","CHANGEMENT POLITIQUE, POUVOIR, PRODUCTIONS CULTURELLES","Femme","Technique ou technologique","Alpes-Maritimes","Hors PACA",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"Fonctionnaire","Fonctionnaire",TRUE,TRUE,FALSE,FALSE,"ouvrier ou employé / cat. C","ouvrier ou employé / cat. C",FALSE,FALSE,1300,1280,"Fonction Publique","Enseignement","Adjointe administrative recherche et formation"
2014,"LP",2002800,NA,"INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES","ANALYSE ET CONTROLE","Homme","Scientifique",NA,"Alpes-Maritimes",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En recherche d'emploi",NA,"En recherche d'emploi",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Master",2216583,"DROIT, ECONOMIE, GESTION","ADMINISTRATION DES ENTREPRISES","DIRECTION D'ENTREPRISES","Femme","Technique ou technologique","Alpes-Maritimes","Alpes-Maritimes",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,2750,2750,"Employeurs privés","Activités spécialisées, scientifiques et techniques","Contrôleur de gestion "
2014,"Master",2216656,"DROIT, ECONOMIE, GESTION","MANAGEMENT","COMMUNICATION ORGANISATIONNELLE","Femme","Littéraire",NA,"Alpes-Maritimes",TRUE,"internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Master",2220493,"DROIT, ECONOMIE, GESTION","DROIT PRIVE","DROIT PRIVE FONDAMENTAL ET SCIENCES CRIMINELLES","Homme","Équivalent ou étranger","Alpes-Maritimes","Alpes-Maritimes",TRUE,"internet","Non Boursier","En doctorat (Master) / en Master (LP)","En doctorat (Master) / en Master (LP)","En doctorat (Master) / en Master (LP)",TRUE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDD","Emplois aidés",FALSE,FALSE,FALSE,FALSE,"ouvrier ou employé / cat. C","technicien ou agent de maîtrise / cat. B",TRUE,FALSE,600,1300,"Fonction Publique","Enseignement","Assistant d'éducation"
2014,"LP",2008617,NA,"HOTELLERIE ET TOURISME","GUIDE CONFERENCIER","Femme","Technique ou technologique","Alpes-Maritimes","PACA hors Alpes-Maritimes",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDD","CDD",FALSE,FALSE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,1500,1500,"Fonction Publique","Activités spécialisées, scientifiques et techniques","Assistante Service Culturel"
2014,"LP",2005847,NA,"MANAGEMENT DES ORGANISATIONS","ADMINISTRATION GENERALE DES PETITES ET MOYENNES ENTREPRISES/PETITES ET MOYENNES INDUSTRIES","Femme","Technique ou technologique",NA,"Alpes-Maritimes",TRUE,"internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Master",2210681,"DROIT, ECONOMIE, GESTION","DROIT PUBLIC","SANTE DES POPULATIONS","Femme","Technique ou technologique","Alpes-Maritimes","Hors PACA",TRUE,"téléphone","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,NA,NA,"Employeurs privés","Santé humaine et action sociale","Cadre de santé "
2014,"Master",2216933,"SCIENCES, TECHNOLOGIES, SANTE","SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES","METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION EDUCATION PHYSIQUE ET SPORTIVE","Femme","Technique ou technologique",NA,"Alpes-Maritimes",TRUE,"internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
