Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;17;86;6;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc10_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;105;84;36;92;83;67;94;1780;27700;21;11.4;1840;21;41;25.00;1430;2210;Nice - Sophia-Antipolis_30;disc12_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;49;87;17;81;91;72;97;ns;ns;21;11.4;1840;42;38;8.00;1430;2210;Nice - Sophia-Antipolis_18;disc16_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;37;73;15;74;ns;ns;ns;ns;ns;21;11;1830;ns;ns;91.00;1420;2210;Nice - Sophia-Antipolis_18;disc03_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;102;74;40;92;39;90;96;1670;26000;21;11;1830;12;22;59.00;1420;2210;Nice - Sophia-Antipolis_30;disc04_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;97;82;33;97;88;76;94;1670;26000;21;11;1830;20;36;32.00;1420;2210;Nice - Sophia-Antipolis_30;disc12_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;12;94;4;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_18;disc13_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;25;76;9;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_18;disc15_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;108;65;56;90;27;63;98;1500;23400;22;10.3;1830;7;28;71.00;1410;2200;Nice - Sophia-Antipolis_18;disc01_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;35;59;18;83;ns;ns;ns;ns;ns;22;10.3;1830;ns;58;88.00;1410;2200;Nice - Sophia-Antipolis_18;disc03_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;65;70;34;92;27;72;98;1560;24300;22;10.3;1830;9;14;63.00;1410;2200;Nice - Sophia-Antipolis_18;disc04_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;65;70;34;94;34;92;98;1680;26300;22;10.3;1830;10;14;63.00;1410;2200;Nice - Sophia-Antipolis_30;disc04_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;8;55;4;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_18;disc05_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;6;75;3;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_30;disc06_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;11;58;6;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_18;disc07_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;11;58;6;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_30;disc07_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;9;61;5;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_18;disc10_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;2;50;1;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_18;disc11_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;22;76;10;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_30;disc15_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;103;63;56;90;43;67;97;1520;23700;25;10.2;1800;10;30;62.00;1410;2140;Nice - Sophia-Antipolis_18;disc01_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;34;72;18;82;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;79.00;1410;2140;Nice - Sophia-Antipolis_30;disc03_30;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;12;54;6;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_18;disc05_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;14;84;6;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_18;disc13_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;14;84;6;ns;ns;ns;ns;ns;ns;25;10.2;1800;ns;ns;;1410;2140;Nice - Sophia-Antipolis_30;disc13_30;7CYWd
